Variable:,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_group_id,age_group_name,year_id,metric_id,metric_name,mean,upper,lower,inc_count_mean,inc_count_lower,inc_count_upper,mort_count_mean,mort_count_lower,mort_count_upper,observed_deaths,predicted_deaths,predicted_deaths_lower,predicted_deaths_upper,excess_deaths,excess_deaths_lower,excess_deaths_upper,OE_ratio,OE_ratio_lower,OE_ratio_upper
Label:,Measure ID,Measure Name,Location ID,Location Name,Sex ID,Sex Name,Age Group ID,Age Group Name,Year ID,Metric ID,Metric Name,Mean value,95% Uncertainty Interval (Upper Bound),95% Uncertainty Interval (Lower Bound),Incidence count mean,Incidence count 95% Uncertainty Interval (Lower Bound),Incidence count 95% Uncertainty Interval (Upper Bound),Mortality count mean,Mortality count 95% Uncertainty Interval (Lower Bound),Mortality count 95% Uncertainty Interval (Upper Bound),Observed deaths,Predicted deaths,Predicted deaths 95% Uncertainty Interval (Lower Bound),Predicted deaths 95% Uncertainty Interval (Upper Bound),Estimated excess deaths,Excess deaths 95% Uncertainty Interval (Lower Bound),Excess deaths 95% Uncertainty Interval (Upper Bound),Observed to expected ratio,Observed to expected ratio 95% Uncertainty Interval (Lower Bound),Observed to expected ratio 95% Uncertainty Interval (Upper Bound)
Value coding:,1,Mortality,1,Global,3,Both,22,All age,1990,1,Count,,,,,,,,,,,,,,,,,,,
,6,Incidence ,4,"Southeast Asia, East Asia, and Oceania",1,Male,27,Age-standardized,1991,3,Rate,,,,,,,,,,,,,,,,,,,
,,,5,East Asia,2,Female,1,<5,1992,,,,,,,,,,,,,,,,,,,,,
,,,9,Southeast Asia,,,6,5 to 9,1993,,,,,,,,,,,,,,,,,,,,,
,,,21,Oceania,,,7,10 to 14,1994,,,,,,,,,,,,,,,,,,,,,
,,,31,"Central Europe, Eastern Europe, and Central Asia",,,8,15 to 19,1995,,,,,,,,,,,,,,,,,,,,,
,,,32,Central Asia,,,9,20 to 24,1996,,,,,,,,,,,,,,,,,,,,,
,,,42,Central Europe,,,10,25 to 29,1997,,,,,,,,,,,,,,,,,,,,,
,,,56,Eastern Europe,,,11,30 to 34,1998,,,,,,,,,,,,,,,,,,,,,
,,,64,High-income,,,12,35 to 39,1999,,,,,,,,,,,,,,,,,,,,,
,,,65,High-income Asia Pacific,,,13,40 to 44,2000,,,,,,,,,,,,,,,,,,,,,
,,,70,Australasia,,,14,45 to 49,2001,,,,,,,,,,,,,,,,,,,,,
,,,73,Western Europe,,,15,50 to 54,2002,,,,,,,,,,,,,,,,,,,,,
,,,96,Southern Latin America,,,16,55 to 59,2003,,,,,,,,,,,,,,,,,,,,,
,,,100,High-income North America,,,17,60 to 64,2004,,,,,,,,,,,,,,,,,,,,,
,,,103,Latin America and Caribbean,,,18,65 to 69 ,2005,,,,,,,,,,,,,,,,,,,,,
,,,104,Caribbean,,,19,70 to 74,2006,,,,,,,,,,,,,,,,,,,,,
,,,120,Andean Latin America,,,20,75 to 79,2007,,,,,,,,,,,,,,,,,,,,,
,,,124,Central Latin America,,,30,80 to 84,2008,,,,,,,,,,,,,,,,,,,,,
,,,134,Tropical Latin America,,,31,85 to 89,2009,,,,,,,,,,,,,,,,,,,,,
,,,137,North Africa and Middle East,,,32,90 to 94,2010,,,,,,,,,,,,,,,,,,,,,
,,,138,North Africa and Middle East,,,235,95+,2011,,,,,,,,,,,,,,,,,,,,,
,,,158,South Asia,,,,,2012,,,,,,,,,,,,,,,,,,,,,
,,,159,South Asia,,,,,2013,,,,,,,,,,,,,,,,,,,,,
,,,166,Sub-Saharan Africa,,,,,2014,,,,,,,,,,,,,,,,,,,,,
,,,167,Central Sub-Saharan Africa,,,,,2015,,,,,,,,,,,,,,,,,,,,,
,,,174,Eastern Sub-Saharan Africa,,,,,2016,,,,,,,,,,,,,,,,,,,,,
,,,192,Southern Sub-Saharan Africa,,,,,2017,,,,,,,,,,,,,,,,,,,,,
,,,199,Western Sub-Saharan Africa,,,,,2018,,,,,,,,,,,,,,,,,,,,,
,,,6,China,,,,,2019,,,,,,,,,,,,,,,,,,,,,
,,,7,Democratic People's Republic of Korea,,,,,2020,,,,,,,,,,,,,,,,,,,,,
,,,8,Taiwan (Province of China),,,,,2021,,,,,,,,,,,,,,,,,,,,,
,,,10,Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,11,Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,12,Lao People's Democratic Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,13,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,15,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,18,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,22,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,23,Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,24,Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25,Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26,Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27,Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,28,Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,29,Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,30,Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,33,Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,34,Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,35,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,36,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,37,Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,38,Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,39,Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,40,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,41,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,43,Albania,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,44,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,45,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,46,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,47,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,48,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,49,North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,50,Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,51,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,52,Romania,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,53,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,54,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,55,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,57,Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,58,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,59,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,60,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,61,Republic of Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,62,Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,63,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,66,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,67,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,68,Republic of Korea,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,69,Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,71,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,72,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,74,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,75,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,76,Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,77,Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,78,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,79,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,80,France,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,81,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,82,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,83,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,84,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,85,Israel,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,86,Italy,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,87,Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,88,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,89,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,90,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,91,Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,92,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,93,Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,94,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,95,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,97,Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,98,Chile,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,99,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,101,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,102,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,105,Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,106,Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,107,Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,108,Belize,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,109,Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,110,Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,111,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,112,Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,113,Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,114,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,115,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,116,Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,117,Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,118,Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,119,Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,121,Bolivia (Plurinational State of),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,122,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,123,Peru,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,125,Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,126,Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,127,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,128,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,129,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,130,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,131,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,132,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,133,Venezuela (Bolivarian Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,135,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,136,Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,139,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,140,Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,141,Egypt,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,142,Iran (Islamic Republic of),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,143,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,144,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,145,Kuwait,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,146,Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,147,Libya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,148,Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,149,Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,150,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,151,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,152,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,153,Syrian Arab Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,154,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,155,Türkiye,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,156,United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,157,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,160,Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,161,Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,162,Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,163,India,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,164,Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,165,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,168,Angola,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,169,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,170,Congo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,171,Democratic Republic of the Congo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,172,Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,173,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,175,Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,176,Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,177,Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,178,Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,179,Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,180,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,181,Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,182,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,183,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,184,Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,185,Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,186,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,187,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,189,United Republic of Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,190,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,191,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,193,Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,194,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,195,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,196,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,197,Eswatini,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,198,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,200,Benin,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,201,Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,202,Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,203,Cabo Verde,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,204,Chad,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,205,Côte d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,206,Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,207,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,208,Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,209,Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,210,Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,211,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,212,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,213,Niger,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,214,Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,215,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,216,Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,217,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,218,Togo,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,298,American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,305,Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,320,Cook Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,349,Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,351,Guam,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,367,Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,369,Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,374,Niue,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,376,Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,380,Palau,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,385,Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,393,Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,396,San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,413,Tokelau,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,416,Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,422,United States Virgin Islands,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,435,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,522,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,
